Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",Diode_SOD123,34,Diode,
J1,6pin,1,TP_BRIDGE_IN_L,
J2,6pin,1,TP_BRIDGE_OUT_L,
J3,6pin,1,TP_BRIDGE_IN_R,
J4,5pin,1,TP_OUTPUT_TO_XIAO_L,
J5,6pin,1,TP_BRIDGE_OUT_R,
J6,5pin,1,TP_OUTPUT_TO_XIAO_R,
J7,2pin,1,BattConnect_R,
J8,2pin,1,BattConnect_L,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S4, S5, S6, S7, S8, S9",Choc_V1_1.00u,34,Keyswitch,
"U1, U2",xiao-ble-smd-cutout,2,xiao-ble,
