Designator,Mid X,Mid Y,Rotation,Layer
D1,25.0,-54.0,270.0,bottom
D10,123.0,-62.0,270.0,bottom
D11,25.0,-88.0,270.0,bottom
D12,45.0,-87.100001,270.0,bottom
D13,63.0,-77.0,270.0,bottom
D14,103.0,-87.0,270.0,bottom
D15,123.0,-72.0,270.0,bottom
D16,103.0,-97.0,270.0,bottom
D17,123.0,-89.0,270.0,bottom
D18,177.0,-44.799999,270.0,bottom
D19,215.0,-43.0,270.0,bottom
D2,45.0,-53.100001,270.0,bottom
D20,237.0,-43.0,270.0,bottom
D21,255.0,-53.0,270.0,bottom
D22,275.0,-54.0,270.0,bottom
D23,177.0,-62.0,270.0,bottom
D24,197.0,-77.0,270.0,bottom
D25,237.0,-60.0,270.0,bottom
D26,255.0,-70.299999,270.0,bottom
D27,275.0,-71.0,270.0,bottom
D28,177.0,-72.0,270.0,bottom
D29,197.0,-87.0,270.0,bottom
D3,63.0,-43.0,270.0,bottom
D30,237.0,-77.0,270.0,bottom
D31,255.0,-87.0,270.0,bottom
D32,275.0,-88.0,270.0,bottom
D33,177.0,-89.0,270.0,bottom
D34,197.0,-97.299999,270.0,bottom
D4,85.0,-43.0,270.0,bottom
D5,123.0,-45.0,270.0,bottom
D6,25.0,-71.0,270.0,bottom
D7,45.0,-70.0,270.0,bottom
D8,63.0,-60.0,270.0,bottom
D9,103.0,-77.0,270.0,bottom
J1,84.0,-57.5,0.0,top
J2,85.749999,-85.0,270.0,top
J3,216.0,-57.5,180.0,top
J4,68.499998,-85.0,90.0,top
J5,214.25,-85.0,270.0,top
J6,231.499999,-85.0,270.0,top
J7,244.25,-85.5,90.0,top
J8,55.75,-85.5,90.0,top
S1,34.0,-56.3625,0.0,top
S10,114.0,-64.3625,0.0,top
S11,34.0,-90.3625,0.0,top
S12,54.0,-79.3625,0.0,top
S13,74.0,-76.3625,0.0,top
S14,94.0,-79.3625,0.0,top
S15,114.0,-81.3625,0.0,top
S16,116.60868600738075,-101.0061947568568,341.0,top
S17,136.15620389965622,-109.37943070288594,334.0,top
S18,186.0,-47.3625,0.0,top
S19,206.0,-45.3625,0.0,top
S2,54.0,-45.3625,0.0,top
S20,226.0,-42.3625,0.0,top
S21,246.0,-45.3625,0.0,top
S22,266.0,-56.3625,0.0,top
S23,186.0,-64.3625,0.0,top
S24,206.0,-62.3625,0.0,top
S25,226.0,-59.3625,0.0,top
S26,246.0,-62.3625,0.0,top
S27,266.0,-73.3625,0.0,top
S28,186.0,-81.3625,0.0,top
S29,206.0,-79.3625,0.0,top
S3,74.0,-42.3625,0.0,top
S30,226.0,-76.3625,0.0,top
S31,246.0,-79.3625,0.0,top
S32,266.0,-90.3625,0.0,top
S33,163.84379610034378,-109.37943070288594,26.0,top
S34,183.39131399261925,-101.0061947568568,19.0,top
S4,94.0,-45.3625,0.0,top
S5,114.0,-47.3625,0.0,top
S6,34.0,-73.3625,0.0,top
S7,54.0,-62.3625,0.0,top
S8,74.0,-59.3625,0.0,top
S9,94.0,-62.3625,0.0,top
